Link_ID,Length_L_km,Area_H_km2
399657,0.163,0.10116
408692,0.72,0.29068
423444,0.872,0.34068
414165,0.584,0.34099
424306,0.553,0.21449
483864,0.714,0.5014
422570,0.876,0.27762
452195,1.213,0.69185
454817,0.619,0.20119
417870,0.259,0.101
445759,0.9,0.51611
439039,0.192,0.08821
391348,0.294,0.12662
479529,0.881,0.67719
462347,0.425,0.16334
449818,0.517,0.25165
393617,0.681,0.37975
434492,0.749,0.39233
491104,0.801,0.42575
405674,0.557,0.2402
414156,0.979,0.37893
417546,0.263,0.07576
420693,0.806,0.42913
466015,0.487,0.26381
443978,0.131,0.03778
452686,0.546,0.32702
470231,0.736,0.40165
386804,0.589,0.16468
452362,1.062,0.65404
434935,0.951,0.52931
466987,0.162,0.02511
429755,0.451,0.25219
455979,0.287,0.22631
436552,1.13,0.75598
453966,0.641,0.3647
456886,1.454,0.75427
414677,0.945,0.78343
468869,0.588,0.18831
440974,0.619,0.36525
417703,1.028,0.68178
413815,0.457,0.25262
407565,0.807,0.29073
400695,0.163,0.05059
394341,0.657,0.31644
377846,0.585,0.60815
473305,0.912,0.31367
394535,0.72,0.24044
419705,0.163,0.02525
403767,1.34,0.64491
415835,0.326,0.10103
384831,0.294,0.06335
410517,0.385,0.15163
441936,0.782,0.28966
403367,0.62,0.21497
434406,0.782,0.74399
399702,0.259,0.20252
406914,0.326,0.16435
462483,0.383,0.20099
453134,1.276,0.36471
456602,0.619,0.25143
453335,0.75,0.40246
410353,0.518,0.21481
399576,1.326,0.89816
443970,0.671,0.5414
485478,1.468,0.76436
454365,0.425,0.16348
371000,0.394,0.12686
439033,0.851,0.49128
422997,0.422,0.37856
474896,0.678,0.32615
427362,0.457,0.1009
454139,0.421,0.27689
407084,1.005,0.39187
445902,0.488,0.45313
376320,0.752,0.22827
396386,0.716,0.40497
421225,0.71,0.44174
415480,0.326,0.11366
468367,0.456,0.25102
381910,0.778,0.53232
376666,1.068,0.76085
423306,0.422,0.1388
391473,0.588,0.26589
393622,1.042,0.72156
417534,0.355,0.25253
442408,0.263,0.06296
434425,0.192,0.08862
417111,0.74,0.41668
